,0
0,California
1,Connecticut
2,Delaware
3,Idaho
4,Illinois
5,Iowa
6,Kentucky
7,Louisiana
8,Massachusetts
9,Nebraska
10,Oklahoma
11,Rhode Island
12,Texas
13,Utah
14,Vermont
15,West Virginia
16,Wisconsin
17,Wyoming
